species,sal,temp,source,data_original_or_derived_from_plots_figures,location,name,value
Zeuxapta seriolae,45,13,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,18
Zeuxapta seriolae,30,28,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,6
Zeuxapta seriolae,30,28,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,8
Zeuxapta seriolae,30,28,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,2
Zeuxapta seriolae,40,28,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,6
Zeuxapta seriolae,40,28,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,7
Zeuxapta seriolae,40,28,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,onco_longe,2.5
Zeuxapta seriolae,40,28,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,2
Zeuxapta seriolae,40,25,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,4
Zeuxapta seriolae,40,25,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,6
Zeuxapta seriolae,40,25,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,onco_longe,3.75
Zeuxapta seriolae,40,25,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,22
Zeuxapta seriolae,40,13,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,14
Zeuxapta seriolae,40,13,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,18
Zeuxapta seriolae,40,13,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,onco_longe,4.5
Zeuxapta seriolae,40,13,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,23
Zeuxapta seriolae,35,25,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,4
Zeuxapta seriolae,35,25,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,6
Zeuxapta seriolae,35,25,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,23
Neobenedenia girellae,22,22,Brazenor and Hutson 2015,Original data files,Australia,time_1st_hatch,6
